index,Country,Year,Stunted,Caloric_intake,GDP_per_capita,Population,Underweight,Undernourished_People,Mortality_Rate,Prevalence of wasting,Death_Rate,Number_of_wasted_children,Number_of_food_insecure_people,GHI,GHI_Severity_lvl
94,Malaysia,2012,20.066666666666666,0.22,21690.457,29660216.0,13.4,1500000.0,0.8062900000000002,9.733333333333333,1.31,299188.0,5400000.0,15.828627802126801,Moderate
95,Nepal,2012,36.2,0.26,2886.0974,27330696.0,27.575,2300000.0,4.1452837,11.025,6.85,352224.0,11200000.0,36.50402270720714,Alarming
96,Myanmar,2012,28.049999999999997,0.28,3187.115,50218196.0,18.8,3400000.0,5.8205404,6.65,4.8,301969.0,15800000.0,36.39615140516267,Alarming
97,Mongolia,2012,10.7,0.25,9586.715,2792354.0,1.875,300000.0,2.2762116999999997,1.175,0.02,4637.0,200000.0,10.685876346279601,Moderate
98,Japan,2012,7.1,0.17,38735.895,127853688.0,3.4,3999999.9999999995,0.30062503,2.3,0.37,124400.0,5500000.0,2.9622588911180334,Low
99,Iraq,2012,17.35,0.38,9251.982,33864452.0,5.55,5300000.0,3.278033,4.75,0.45,322692.0,97900000.0,20.89376750900361,Serious
100,Iran,2012,5.8,0.27,14541.85,77324448.0,4.199999999999999,5600000.0,1.7532651,4.15,0.4,243797.0,39200000.0,9.871131167961524,Low
101,Indonesia,2012,35.46666666666666,0.27,9015.801,250222688.0,18.733333333333334,23900000.0,3.1228702,12.0,16.49,3251343.0,20000000.0,36.08598201227441,Alarming
102,Pakistan,2012,42.06666666666666,0.25,4150.3257,202205856.0,28.76666666666667,30000000.0,8.295439,10.833333333333336,4.15,4167102.0,97900000.0,58.88676858413295,Extremely Alarming
103,Syria,2012,27.9,0.26,18893.909880263156,22605582.0,10.4,1600000.0,3.7131622,11.5,0.71,356298.0,97900000.0,31.790944045244494,Serious
104,China,2012,7.433333333333334,0.2,10370.727,1366560768.0,2.9,233899999.99999997,1.3483801,2.033333333333333,1.08,1974271.0,97900000.0,39.770935051643264,Alarming
105,Thailand,2013,13.433333333333332,0.24,15442.38,69578600.0,7.866666666666666,5500000.0,1.1817496,6.6000000000000005,1.03,273870.0,5100000.0,12.664424840221383,Moderate
106,Singapore,2013,24.59379585326954,0.2581818181818182,85400.73,5478063.0,16.111339712918664,233899999.99999997,0.27576016999999997,8.522046783625731,0.01,25600142.0,400000.0,47.71480197667995,Alarming
107,Israel,2013,24.59379585326954,0.2,36436.383,7726675.0,16.111339712918664,233899999.99999997,0.41410166,8.522046783625731,0.35,25600142.0,1200000.0,48.2564543362963,Alarming
